Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 88, Duration: 23506, LB: 5142035.893440178, (exp UB:5001718.778181833),  Gap: -2.81,  Fixed x: True,  Fixed thetavar: True  
Iteration: 89, Duration: 23881, LB: 5142060.032019155, (exp UB:4899279.452196708),  Gap: -4.96,  Fixed x: True,  Fixed thetavar: True  
Iteration: 90, Duration: 24258, LB: 5142079.056314269, (exp UB:5472039.240002117),  Gap: 6.03,  Fixed x: True,  Fixed thetavar: True  
Iteration: 91, Duration: 25102, LB: 5142213.062717732, (exp UB:4958263.85724829),  Gap: -3.71,  Fixed x: True,  Fixed thetavar: True  
Iteration: 92, Duration: 25491, LB: 5142274.89260929, (exp UB:4898998.510553157),  Gap: -4.97,  Fixed x: True,  Fixed thetavar: True  
Iteration: 93, Duration: 25868, LB: 5142348.164495514, (exp UB:5168934.081063912),  Gap: 0.51,  Fixed x: True,  Fixed thetavar: True  
Iteration: 94, Duration: 26214, LB: 5142367.6895446, (exp UB:4959438.310457451),  Gap: -3.69,  Fixed x: True,  Fixed thetavar: True  
Iteration: 95, Duration: 26588, LB: 5142383.993025286, (exp UB:4939938.476360215),  Gap: -4.10,  Fixed x: True,  Fixed thetavar: True  
Iteration: 96, Duration: 26969, LB: 5142473.371196328, (exp UB:4908046.113443654),  Gap: -4.78,  Fixed x: True,  Fixed thetavar: True  
Iteration: 97, Duration: 27383, LB: 5142597.636438344, (exp UB:5302337.631547298),  Gap: 3.01,  Fixed x: True,  Fixed thetavar: True  
Iteration: 98, Duration: 27751, LB: 5142604.0266239215, (exp UB:4897164.975799009),  Gap: -5.01,  Fixed x: True,  Fixed thetavar: True  
Iteration: 99, Duration: 28215, LB: 5142617.472836004, (exp UB:4907796.783186099),  Gap: -4.78,  Fixed x: True,  Fixed thetavar: True  
Iteration: 100, Duration: 28575, LB: 5142889.381351657, (exp UB:6793883.456587722),  Gap: 24.30,  Fixed x: True,  Fixed thetavar: True  
Iteration: 101, Duration: 28908, LB: 5142769.981673796, (exp UB:5449884.052559133),  Gap: 5.64,  Fixed x: True,  Fixed thetavar: True  
Iteration: 102, Duration: 29333, LB: 5143361.120286031, (exp UB:5342517.366084514),  Gap: 3.73,  Fixed x: True,  Fixed thetavar: True  
Iteration: 103, Duration: 29701, LB: 5143004.030575225, (exp UB:4913578.495003527),  Gap: -4.67,  Fixed x: True,  Fixed thetavar: True  
Iteration: 104, Duration: 30097, LB: 5143522.463194501, (exp UB:5315857.996855984),  Gap: 3.24,  Fixed x: True,  Fixed thetavar: True  
Iteration: 105, Duration: 30553, LB: 5143787.396115849, (exp UB:4899977.059262312),  Gap: -4.98,  Fixed x: True,  Fixed thetavar: True  
Iteration: 106, Duration: 31077, LB: 5143956.45377184, (exp UB:5520375.6172059905),  Gap: 6.82,  Fixed x: True,  Fixed thetavar: True  
Iteration: 107, Duration: 31541, LB: 5144430.2778358525, (exp UB:4917993.387042654),  Gap: -4.60,  Fixed x: True,  Fixed thetavar: True  
Iteration: 108, Duration: 31975, LB: 5144597.41419369, (exp UB:7279442.2938259505),  Gap: 29.33,  Fixed x: True,  Fixed thetavar: True  
Iteration: 109, Duration: 33077, LB: 5144829.488350829, (exp UB:5988275.528201957),  Gap: 14.08,  Fixed x: True,  Fixed thetavar: True  
Iteration: 110, Duration: 34132, LB: 5144687.750342135, (exp UB:4897371.4687648285),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 111, Duration: 34526, LB: 5144908.453674855, (exp UB:4898477.574889118),  Gap: -5.03,  Fixed x: True,  Fixed thetavar: True  
Iteration: 112, Duration: 35881, LB: 5144993.042833449, (exp UB:4913098.802006803),  Gap: -4.72,  Fixed x: True,  Fixed thetavar: True  
Iteration: 113, Duration: 36240, LB: 5145113.439208971, (exp UB:4903231.823021495),  Gap: -4.93,  Fixed x: True,  Fixed thetavar: True  
Convergence Test, Nr Scenario: 100, LB: 5145113.439208971, (exp UB: 5283723.997726936 - safe UB: 5388424.520305391), SafeGap: 4.52% 
End of the SDDP algorithm 
 
